vendor_name,vendor_slug,product_name,sku,size_label,listed_price_usd,price_per_mg_usd,lot_or_batch,lab_name,lab_id,verification_status,verified,janoshik_unique_key,janoshik_task_number,purity_pct,coa_url,analytes_present,commissioning_party,data_quality,endotoxin,enforcement_risk_flags,entity_type,id,methods_present,notes,peptide_identity,pharmacy_lists_peptide,scraped_at,source_url,sterility_status,strength_mg,vendor_url,verification_key_present
Panda Peptides,panda_peptides,DSIP,PP-010,,29.99,,PP2603-010B,Janoshik Analytical,janoshik,verified_on_lab_portal,True,M8B6VKGFLDIV,212684,99.263,https://pandapeptides.com/coa/,"['purity', 'endotoxin']",vendor,complete_lot_coa,<10 EU/Vial (1.000 EU/Vial estimate),[],RUO,pqi_d81a618d119f2f5f,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=212684&key=M8B6VKGFLDIV (Open report + verify.janoshik.com Test Report #212684). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,DSIP,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,Epithalon 10mg,PP-011,10mg,32.89,3.289,PP2601,Janoshik Analytical,janoshik,verified_on_lab_portal,True,H4BVTPH6SDSW,113203,99.41,https://pandapeptides.com/coa/,['purity'],vendor,complete_lot_coa,,[],RUO,pqi_1ca6db0c373c9248,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=113203&key=H4BVTPH6SDSW (Open report + verify.janoshik.com Test Report #113203). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,Epithalon,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,10.0,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,GHK-Cu,PP-012,50mg,26.87,0.5374,PP2602-012AA,Janoshik Analytical,janoshik,verified_on_lab_portal,True,3M59ETIXMXUG,168135,99.925,https://pandapeptides.com/coa/,"['purity', 'amount', 'endotoxin']",vendor,complete_lot_coa,endotoxin report #168137 published,[],RUO,pqi_1bcc53ac6be48d32,['HPLC'],Janoshik report #168135 cited on hub; portal re-check not completed this pilot (verify form requires key) COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=168135&key=3M59ETIXMXUG (Open report + verify.janoshik.com Test Report #168135). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,GHK-Cu,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,50.0,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,GHK-Cu / TB-500 / BPC-157 Blend (GLOW) 70mg,PP-013,70mg,89.99,1.2856,PP2601,Janoshik Analytical,janoshik,verified_on_lab_portal,True,Z5AD34TRIWWD,113181,,https://pandapeptides.com/coa/,['identity'],vendor,complete_lot_coa,,[],RUO,pqi_db7ca0619c035487,[],hub: published independent report; purity not numeric on card COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=113181&key=Z5AD34TRIWWD (Open report + verify.janoshik.com Test Report #113181). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,GHK-Cu / TB-500 / BPC-157 Blend,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,70.0,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,GLP-1S,PP-016,,19.99,,PP2602-016B,Janoshik Analytical,janoshik,verified_on_lab_portal,True,SNTT7N5KVJSZ,194161,99.475,https://pandapeptides.com/coa/,"['purity', 'endotoxin']",vendor,complete_lot_coa,1.295 EU/Vial,['glp_analog_or_metabolic_peptide_listed'],RUO,pqi_5db91eb2c456603d,['HPLC'],GLP-1 analog naming on storefront COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=194161&key=SNTT7N5KVJSZ (Open report + verify.janoshik.com Test Report #194161). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,GLP-1S,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,IGF-1 LR3 1mg,PP-023-A,1mg,44.99,44.99,PP2604-023A,ILS Laboratories,other,vendor_pdf,False,,,99.66,https://pandapeptides.com/coa/,['purity'],vendor,complete_lot_coa,,[],RUO,pqi_2f0f434903b4579f,['HPLC'],"ILS Labs verify link on hub COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: skipped Janoshik portal (current COA is non-Janoshik lab). verification_key_present may reflect vendor verify UI, not a Janoshik Task#+Unique key.",IGF-1 LR3,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,1.0,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,Ipamorelin,PP-024,,20.99,,PP2602-024A,Janoshik Analytical,janoshik,verified_on_lab_portal,True,1QFJXWKL2TME,152450,99.524,https://pandapeptides.com/coa/,['purity'],vendor,complete_lot_coa,,[],RUO,pqi_64a472b43d27611e,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=152450&key=1QFJXWKL2TME (Open report + verify.janoshik.com Test Report #152450). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,Ipamorelin,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,Kisspeptin-10,PP-025,,22.99,,PP2602-025B,Janoshik Analytical,janoshik,verified_on_lab_portal,True,X6UC969RQN7V,194129,98.724,https://pandapeptides.com/coa/,"['purity', 'endotoxin']",vendor,complete_lot_coa,1.342 EU/Vial,[],RUO,pqi_2614ed1f9e0c11c7,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=194129&key=X6UC969RQN7V (Open report + verify.janoshik.com Test Report #194129). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,Kisspeptin-10,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,KLOW 80mg,PP-026,80mg,99.99,1.2499,PP2603-026,Janoshik Analytical,janoshik,verified_on_lab_portal,True,HJVAQCPFF7XT,212688,,https://pandapeptides.com/coa/,"['identity', 'endotoxin']",vendor,complete_lot_coa,<10 EU/Vial (3.608 EU/Vial estimate),[],RUO,pqi_b8752bc91f67453b,[],multi-component verified COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=212688&key=HJVAQCPFF7XT (Open report + verify.janoshik.com Test Report #212688). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,KLOW,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,80.0,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,KPV 10mg,PP-027,10mg,39.99,3.999,PP2601,Janoshik Analytical,janoshik,verified_on_lab_portal,True,T4U3EJ4XBXQ6,113197,99.22,https://pandapeptides.com/coa/,['purity'],vendor,complete_lot_coa,,[],RUO,pqi_9a0ace149ff7a9ed,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=113197&key=T4U3EJ4XBXQ6 (Open report + verify.janoshik.com Test Report #113197). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,KPV,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,10.0,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,Melanotan I (MT-1) 10mg,PP-048,10mg,28.99,2.899,PP2604-048,ILS Laboratories,other,vendor_pdf,False,,,99.89,https://pandapeptides.com/coa/,['purity'],vendor,complete_lot_coa,,[],RUO,pqi_76ad234dab4a975f,['HPLC'],"COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: skipped Janoshik portal (current COA is non-Janoshik lab). verification_key_present may reflect vendor verify UI, not a Janoshik Task#+Unique key.",Melanotan I,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,10.0,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,Melanotan II (MT-2) 10mg,PP-030,10mg,28.04,2.804,PP2602-007A,Janoshik Analytical,janoshik,verified_on_lab_portal,True,FCMSUWYG5ZDH,168093,99.782,https://pandapeptides.com/coa/,"['purity', 'endotoxin']",vendor,complete_lot_coa,1.150 EU/Vial,[],RUO,pqi_3edc8422e76d64d7,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=168093&key=FCMSUWYG5ZDH (Open report + verify.janoshik.com Test Report #168093). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,Melanotan II,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,10.0,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,MOTS-c,PP-031,,44.99,,PP2602-031A,Janoshik Analytical,janoshik,verified_on_lab_portal,True,ZICD5WCJDD8X,152452,99.043,https://pandapeptides.com/coa/,['purity'],vendor,complete_lot_coa,,[],RUO,pqi_0043966773b0f849,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=152452&key=ZICD5WCJDD8X (Open report + verify.janoshik.com Test Report #152452). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,MOTS-c,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,NAD+ 500mg,PP-032,500mg,38.39,0.0768,PP2602-0322,Janoshik Analytical,janoshik,verified_on_lab_portal,True,M1J586L95F2F,152455,,https://pandapeptides.com/coa/,['amount'],vendor,complete_lot_coa,,[],RUO,pqi_5cd67206a9845044,[],hub amount 520.65 mg; purity not stated on card COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=152455&key=M1J586L95F2F (Open report + verify.janoshik.com Test Report #152455). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,NAD+,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,500.0,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,Peptide-31,PP-054,,29.99,,PP2603-054B,Janoshik Analytical,janoshik,verified_on_lab_portal,True,4BSRGHAC7Y7S,212708,99.731,https://pandapeptides.com/coa/,"['purity', 'endotoxin']",vendor,complete_lot_coa,<10 EU/Vial (1.000 EU/Vial estimate),[],RUO,pqi_7bff8d6b97d241c3,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=212708&key=4BSRGHAC7Y7S (Open report + verify.janoshik.com Test Report #212708). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,Peptide-31,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,PT-141 10mg,PP-034,10mg,34.99,3.499,PP2602-034,Janoshik Analytical,janoshik,verified_on_lab_portal,True,LLRS77MQH57M,194133,99.893,https://pandapeptides.com/coa/,"['purity', 'endotoxin']",vendor,complete_lot_coa,1.555 EU/Vial,[],RUO,pqi_27ab00c1dbad81f9,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=194133&key=LLRS77MQH57M (Open report + verify.janoshik.com Test Report #194133). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,PT-141,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,10.0,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,Selank,PP-035,,21.99,,PP2602-035A,Janoshik Analytical,janoshik,verified_on_lab_portal,True,2IKQJSYT4AR4,194189,,https://pandapeptides.com/coa/,"['amount', 'endotoxin']",vendor,complete_lot_coa,1.131 EU/Vial,[],RUO,pqi_e13fd6edf8ccede8,[],hub amount 5.31 mg COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=194189&key=2IKQJSYT4AR4 (Open report + verify.janoshik.com Test Report #194189). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,Selank,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,Semax,PP-036,,19.99,,PP2602-036A,Janoshik Analytical,janoshik,verified_on_lab_portal,True,EN7YRW9FY81E,194185,,https://pandapeptides.com/coa/,"['amount', 'endotoxin']",vendor,complete_lot_coa,2.039 EU/Vial,[],RUO,pqi_4a5a64c3e017e764,[],hub amount 5.47 mg COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=194185&key=EN7YRW9FY81E (Open report + verify.janoshik.com Test Report #194185). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,Semax,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,Sermorelin 10mg,PP-037,10mg,49.99,4.999,PP2602-0377,Janoshik Analytical,janoshik,verified_on_lab_portal,True,62V9MT64T4MY,152456,99.213,https://pandapeptides.com/coa/,['purity'],vendor,complete_lot_coa,,[],RUO,pqi_b37439dbd9d677a8,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=152456&key=62V9MT64T4MY (Open report + verify.janoshik.com Test Report #152456). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,Sermorelin,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,10.0,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,TB-500,PP-038,,24.99,,PP2601,Janoshik Analytical,janoshik,verified_on_lab_portal,True,H5MBSTP5TH48,113211,98.48,https://pandapeptides.com/coa/,['purity'],vendor,complete_lot_coa,,[],RUO,pqi_c8e91cfcdfdf937b,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=113211&key=H5MBSTP5TH48 (Open report + verify.janoshik.com Test Report #113211). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,TB-500,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,Tesamorelin 10mg,PP-039-B,10mg,54.99,5.499,PP2604-039B,ILS Laboratories,other,vendor_pdf,False,,,99.48,https://pandapeptides.com/coa/,['purity'],vendor,complete_lot_coa,,[],RUO,pqi_e84aa26cc690c67c,['HPLC'],"COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: skipped Janoshik portal (current COA is non-Janoshik lab). verification_key_present may reflect vendor verify UI, not a Janoshik Task#+Unique key.",Tesamorelin,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,10.0,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,Tesamorelin 10mg + Ipamorelin 3mg,PP-055,10mg+3mg,64.99,6.499,PP2603-055,Janoshik Analytical,janoshik,verified_on_lab_portal,True,5VEE2JILG3WE,212680,,https://pandapeptides.com/coa/,"['identity', 'endotoxin']",vendor,complete_lot_coa,<10 EU/Vial (1.000 EU/Vial estimate),[],RUO,pqi_0e0bb0a21cc1dd6d,[],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=212680&key=5VEE2JILG3WE (Open report + verify.janoshik.com Test Report #212680). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,Tesamorelin 10mg + Ipamorelin 3mg,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,10.0,https://pandapeptides.com/,True
Panda Peptides,panda_peptides,Thymosin Alpha-1,PP-041,,33.99,,PP2602-041A,Janoshik Analytical,janoshik,verified_on_lab_portal,True,J3HB6DI2FS9V,168162,99.349,https://pandapeptides.com/coa/,"['purity', 'endotoxin']",vendor,complete_lot_coa,2.483 EU/Vial,[],RUO,pqi_c24d759afb6c76fc,['HPLC'],COA summary from vendor hub; Janoshik/ILS verify links present on page but portal re-check not completed this pilot (unique key required). verification_status=vendor_pdf.; Portal recheck 2026-08-22: verified_on_lab_portal via janoshik.com/verification/?task=168162&key=J3HB6DI2FS9V (Open report + verify.janoshik.com Test Report #168162). Source=direct_verify. Portal HTML exposes report image only; no structured purity/date copied.,Thymosin Alpha-1,,2026-08-22T23:59:13Z,https://pandapeptides.com/coa/,not_tested,,https://pandapeptides.com/,True
